player_id,player_name,team,first_half_minutes,second_half_actions_per90,second_half_miscontrols_per90,second_half_pass_completion_rate,second_half_progressive_passes_per90,second_half_statsbomb_xg_per90,raw_second_half_actions_per90,raw_second_half_progressive_passes_per90,raw_second_half_pass_completion_rate,raw_second_half_miscontrols_per90,raw_second_half_statsbomb_xg_per90
12072,Pere Milla Peña,Elche,45.95,153.24223339565938,1.795725762911605,0.8278612803695228,3.198417150874117,0.14635282190889587,153.24223339565938,3.198417150874117,0.8278612803695228,1.795725762911605,0.14635282190889587
24517,José Raúl Gutiérrez Parejo,Elche,45.95,141.26228302473405,0.7872922089348122,0.8614380758727896,3.6207157872763034,0.09058833288289453,141.26228302473405,3.6207157872763034,0.8614380758727896,0.7872922089348122,0.09058833288289453
24169,Gonzalo Cacicedo Verdú,Elche,45.95,154.5455181419653,0.24529376415258441,0.8376848027555587,7.207261940461059,0.03348145215266736,154.5455181419653,7.207261940461059,0.8376848027555587,0.24529376415258441,0.03348145215266736
9857,José Manuel Sánchez Guillén,Elche,45.95,124.93316327801136,0.6799543103037053,0.7493808850259587,8.167386261452616,0.0432420893302522,124.93316327801136,8.167386261452616,0.7493808850259587,0.6799543103037053,0.0432420893302522
7064,Lucas Ariel Boyé,Elche,45.95,147.38344731981545,2.305309610472111,0.6827923059528023,4.42955097974341,0.14981168827967675,147.38344731981545,4.42955097974341,0.6827923059528023,2.305309610472111,0.14981168827967675
20055,Marc-André ter Stegen,Barcelona,45.95,60.07881651604667,0.0,0.8963389277371709,4.8511798765621315,0.04010785627770394,60.07881651604667,4.8511798765621315,0.8963389277371709,-0.2701789915348498,0.04010785627770394
5492,Samuel Yves Umtiti,Barcelona,45.95,209.66873878779901,0.0,0.9608143415964733,5.333288191036629,0.026310020877690105,209.66873878779901,5.333288191036629,0.9608143415964733,-0.2208334981355211,0.026310020877690105
5213,Gerard Piqué Bernabéu,Barcelona,45.95,219.537859232975,0.0,0.9711431907976762,6.056731476059143,0.09018286846736584,219.537859232975,6.056731476059143,0.9711431907976762,-0.12741427804218053,0.09018286846736584
8118,Frenkie de Jong,Barcelona,45.95,222.02494378643271,0.5275481837093373,0.9400407864844261,4.641954047264771,0.09832319700728703,222.02494378643271,4.641954047264771,0.9400407864844261,0.5275481837093373,0.09832319700728703
6947,Miralem Pjanić,Barcelona,45.95,265.6135007187848,0.8680280093954177,0.95189852962876,6.884395672320407,0.17138290424262864,265.6135007187848,6.884395672320407,0.95189852962876,0.8680280093954177,0.17138290424262864
22390,Francisco António Machado Mota de Castro Trincão,Barcelona,45.95,158.042412057442,2.1780643750484283,0.8821093334828217,4.464230573344126,0.35495023161343,158.042412057442,4.464230573344126,0.8821093334828217,2.1780643750484283,0.35495023161343
5691,Johan Andrés Mojica Palacio,Elche,45.4,151.9353934086323,1.288327002493689,0.739249090669459,8.97705966435308,0.03281372018878066,151.9353934086323,8.97705966435308,0.739249090669459,1.288327002493689,0.03281372018878066
5503,Lionel Andrés Messi Cuccittini,Barcelona,45.95,229.23860082797913,0.9129838504980757,0.8116654741462458,15.781747415965494,0.4311170799786126,229.23860082797913,15.781747415965494,0.8116654741462458,0.9129838504980757,0.4311170799786126
24165,Edgar Badía Guardiola,Elche,45.95,95.19821252493388,0.0955403758937372,0.7586492530092063,11.342928460476465,0.0415957445230111,95.19821252493388,11.342928460476465,0.7586492530092063,0.0955403758937372,0.0415957445230111
6663,Antonio Barragán Fernández,Elche,45.95,124.84655856870788,0.3529571225811544,0.8524419733101182,5.080970484605521,0.01898223232442471,124.84655856870788,5.080970484605521,0.8524419733101182,0.3529571225811544,0.01898223232442471
4447,Martin Braithwaite Christensen,Barcelona,45.95,112.33926454261342,1.4679011314668338,0.7520573857264439,4.146373470948346,0.2453785231312714,112.33926454261342,4.146373470948346,0.7520573857264439,1.4679011314668338,0.2453785231312714
30486,Pedro González López,Barcelona,45.95,219.31823844605458,0.9769348536499503,0.8957192806342141,5.302159835660243,0.06468060896713737,219.31823844605458,5.302159835660243,0.8957192806342141,0.9769348536499503,0.06468060896713737
5211,Jordi Alba Ramos,Barcelona,45.95,213.01586992044588,0.2609340703924552,0.8951655973246456,8.87287480411857,0.04118688557903444,213.01586992044588,8.87287480411857,0.8951655973246456,0.2609340703924552,0.04118688557903444
43728,Óscar Mingueza García,Barcelona,45.95,209.5800634442168,0.5805630436350666,0.9254807052241293,6.134416922787985,0.10492656202333275,209.5800634442168,6.134416922787985,0.9254807052241293,0.5805630436350666,0.10492656202333275
15880,Emiliano Ariel Rigoni,Elche,45.95,111.85258580818756,0.7697800944017336,0.751987423155478,7.1734702230617735,0.04610265901100752,111.85258580818756,7.1734702230617735,0.751987423155478,0.7697800944017336,0.04610265901100752
18783,Omenuke Mfulu,Elche,45.95,154.64369148155126,1.5502109023797166,0.7857128605724204,5.259368470649493,0.09110779018408605,154.64369148155126,5.259368470649493,0.7857128605724204,1.5502109023797166,0.09110779018408605
7897,Miguel Ángel Garrido Cifuentes,Elche,45.95,116.62646541398792,1.0029127635934296,0.7184379380966044,6.002375438819944,0.023324910280147576,116.62646541398792,6.002375438819944,0.7184379380966044,1.0029127635934296,0.023324910280147576
