player_id,player_name,team,first_half_minutes,previous_matches_available,previous_reliable_pass_attempts_per90,previous_reliable_progressive_passes_per90,previous_reliable_carries_per90,previous_reliable_shots_per90,previous_reliable_miscontrols_per90,previous_reliable_shot_assists_per90,last_3_reliable_pass_attempts_per90,last_3_reliable_progressive_passes_per90,last_3_reliable_carries_per90,last_3_reliable_shots_per90,last_3_reliable_miscontrols_per90,last_3_reliable_shot_assists_per90,first_half_actions_per90,first_half_pass_attempts_per90,first_half_completed_passes_per90,first_half_progressive_passes_per90,first_half_pass_completion_rate,first_half_shots_per90,first_half_statsbomb_xg_per90,first_half_carries_per90,first_half_miscontrols_per90,first_half_interceptions_per90,first_half_ball_recoveries_per90,first_half_dribbles_per90,first_half_duels_per90,first_half_pressures_per90,first_half_shot_assists_per90,first_half_mean_xpass,first_half_completions_above_expected,first_half_completion_rate_above_expected,actions_trajectory,progressive_passes_trajectory,carries_trajectory,miscontrols_trajectory,pressures_trajectory,pass_completion_trajectory
12072,Pere Milla Peña,Elche,45.95,0.0,,,,,,,,,,,,,170.40261153427636,27.42110990206746,25.46245919477693,1.9586507072905328,0.9285714285714286,1.9586507072905328,0.14531206093579976,25.46245919477693,3.9173014145810656,3.9173014145810656,3.9173014145810656,0.0,5.875952121871599,39.17301414581066,0.0,0.9335392,-0.06954861,-0.0049678087,15.564263322883988,-3.0,12.855799373040746,-6.0,-16.786833855799376,0.16666666666666663
24517,José Raúl Gutiérrez Parejo,Elche,45.95,0.0,,,,,,,,,,,,,125.3536452665941,29.379760609357994,29.379760609357994,0.0,1.0,1.9586507072905328,0.015315863112078344,27.42110990206746,0.0,0.0,5.875952121871599,0.0,0.0,19.58650707290533,0.0,0.91063786,1.25107,0.089362144,32.708463949843235,0.0,18.49843260188087,0.0,-21.357366771159874,0.0
24169,Gonzalo Cacicedo Verdú,Elche,45.95,0.0,,,,,,,,,,,,,160.6093579978237,50.92491838955386,50.92491838955386,9.793253536452665,1.0,0.0,0.0,43.09031556039173,0.0,0.0,1.9586507072905328,0.0,1.9586507072905328,9.793253536452665,0.0,0.81698555,4.3923473,0.18301445,82.42006269592471,2.2852664576802493,20.426332288401248,0.0,-6.357366771159875,0.0
9857,José Manuel Sánchez Guillén,Elche,45.95,0.0,,,,,,,,,,,,,127.31229597388466,43.09031556039173,27.42110990206746,9.793253536452665,0.6363636363636364,0.0,0.0,25.46245919477693,0.0,1.9586507072905328,0.0,0.0,1.9586507072905328,15.669205658324262,0.0,0.7486954,-3.225212,-0.16974801,-160.4294670846395,-6.357366771159875,-30.357366771159874,0.0,-24.0,-0.7
7064,Lucas Ariel Boyé,Elche,45.95,1.0,,,,,,,,,,,,,154.73340587595212,29.379760609357994,15.669205658324262,0.0,0.5333333333333333,1.9586507072905328,0.5845377584330794,27.42110990206746,3.9173014145810656,0.0,9.793253536452665,0.0,7.834602829162131,21.545157780195865,0.0,0.7066727,-1.8934183,-0.13524413,-38.21943573667713,0.0,-24.71473354231975,2.6426332288401246,-15.71473354231975,0.16666666666666663
20055,Marc-André ter Stegen,Barcelona,45.95,153.0,23.9917976760082,0.9227614490772386,16.609706083390293,0.0,0.0,0.0,29.63200948259397,4.103369821533769,20.25655582385492,0.0,0.0,0.0,52.8835690968444,21.545157780195865,21.545157780195865,1.9586507072905328,1.0,0.0,0.0,9.793253536452665,0.0,0.0,1.9586507072905328,0.0,0.0,0.0,0.0,0.9925791,0.05936718,0.0074208975,14.068965517241367,5.642633228840125,-6.357366771159875,0.0,0.0,0.0
5492,Samuel Yves Umtiti,Barcelona,45.95,116.0,78.34602829162132,1.9586507072905328,56.80087051142546,0.0,0.0,0.0,71.70867613600045,2.256008505600585,55.54661832270451,0.0,0.31920553289590353,0.0,268.33514689880303,97.93253536452666,92.05658324265505,5.875952121871599,0.94,0.0,0.0,74.42872687704026,0.0,1.9586507072905328,1.9586507072905328,1.9586507072905328,0.0,3.9173014145810656,0.0,0.9440234,-0.20116806,-0.004023373,-134.435736677116,-0.35736677115987536,-44.858934169279,0.0,-6.0,-0.030701754385964897
5213,Gerard Piqué Bernabéu,Barcelona,45.95,331.0,86.73957621326042,6.45933014354067,66.43882433356117,0.0,0.0,0.0,75.07486696387042,3.532640787585374,52.29725644723814,0.0,0.0,0.0,334.92927094668113,109.68443960826984,99.89118607181719,7.834602829162131,0.9107142857142857,0.0,0.0,95.97388465723613,0.0,0.0,1.9586507072905328,0.0,3.9173014145810656,13.71055495103373,0.0,0.9059142,0.08063507,0.0014932156,-132.72413793103453,-12.0,-51.93103448275863,0.0,-3.7147335423197507,0.11627906976744184
8118,Frenkie de Jong,Barcelona,45.95,45.0,74.74367737525633,5.536568694463431,57.2112098427888,0.9227614490772386,0.0,0.0,97.07132999854518,2.19174332515967,71.78623681211067,0.30758714969241285,0.0,0.0,229.16213275299236,66.59412404787813,62.67682263329705,5.875952121871599,0.9411764705882353,0.0,0.0,64.6354733405876,0.0,0.0,5.875952121871599,1.9586507072905328,1.9586507072905328,1.9586507072905328,1.9586507072905328,0.9054582,1.2144203,0.035718262,-39.86520376175554,-0.35736677115987536,-21.216300940438877,0.0,-3.0,-0.037878787878787956
6947,Miralem Pjanić,Barcelona,45.95,49.0,118.64951768488746,0.0,101.2861736334405,2.8938906752411575,2.8938906752411575,0.0,99.92903380406874,2.845549324164369,79.8287055198348,1.8707465100036176,1.9131466664685088,0.9485164413881227,301.6322089227421,97.93253536452666,86.18063112078346,13.71055495103373,0.88,0.0,0.0,84.22198041349291,0.0,1.9586507072905328,0.0,3.9173014145810656,0.0,7.834602829162131,0.0,0.8718371,0.27998352,0.0057139397,21.987460815046973,-3.7147335423197507,-8.003134796238257,0.0,5.285266457680249,-0.050000000000000044
