mean_predicted_probability,observed_completion_rate,absolute_gap,observations,weight
0.2141659087063193,0.23717764356245805,0.02301173485613875,10431,0.10000479363405397
0.5226353778735103,0.5312559923298178,0.008620614456307463,10430,0.09999520636594603
0.7522879549291536,0.7389512031444732,0.013336751784680412,10431,0.10000479363405397
0.869497676040845,0.874496644295302,0.0049989682544570035,10430,0.09999520636594603
0.9294542697620877,0.9352890422778257,0.0058347725157380514,10431,0.10000479363405397
0.9605096549281452,0.9660594439117929,0.005549788983647663,10430,0.09999520636594603
0.9770345596039287,0.9801553062985332,0.0031207466946044926,10431,0.10000479363405397
0.9865200863245692,0.9911792905081496,0.0046592041835803455,10430,0.09999520636594603
0.9926544942540382,0.9951102588686481,0.0024557646146099454,10430,0.09999520636594603
0.9970886177601127,0.998561978717285,0.0014733609571723205,10431,0.10000479363405397
